TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,"google.com,pub-87","mopub.com, 252","rubiconproject.com, 16","aps.amazon.com,ea",hindsight,REMARKS
best.mp3player.musicplayer.defaultmusicplayer,Musique - Default Music Player,https://play.google.com/store/apps/details?id=best.mp3player.musicplayer.defaultmusicplayer,https://100pilabs.com/app-ads.txt,True,-,-,"rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16356, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807",-,-,
com.Project100Pi.themusicplayer,Pi Music Player: Offline Music,https://play.google.com/store/apps/details?id=com.Project100Pi.themusicplayer,https://100pilabs.com/app-ads.txt,True,-,-,"rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16356, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807",-,-,
com.project100pi.videoplayer.video.player,Pi Video Player - Media Player,https://play.google.com/store/apps/details?id=com.project100pi.videoplayer.video.player,https://100pilabs.com/app-ads.txt,True,-,-,"rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16356, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807",-,-,
1351480930,10/11 NOW Weather,https://apps.apple.com/us/app/id1351480930,https://www.1011now.com/app-ads.txt,True,-,-,-,-,-,
420498715,1011 NOW News,https://apps.apple.com/us/app/id420498715,https://www.1011now.com/app-ads.txt,True,-,-,-,-,-,
com.graytv.android.kolnkginnews,10/11 NOW News,https://play.google.com/store/apps/details?id=com.graytv.android.kolnkginnews,https://www.1011now.com/app-ads.txt,True,-,-,-,-,-,
com.indian.truck.cargo.simulator.lorry,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
1505275584,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
284895167,Radio 105,https://apps.apple.com/us/app/id284895167,https://adv.mediamond.it/hpsponsor/ads_txt/rti/ads.txt,True,-,-,"rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16414, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807",-,-,
it.froggy.android.radio105,Radio 105,https://play.google.com/store/apps/details?id=it.froggy.android.radio105,https://adv.mediamond.it/hpsponsor/ads_txt/rti/ads.txt,True,-,-,"rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16414, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807",-,-,
1601755912,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
com.tenminutemail,10 Minute Mail - Temp Mail,https://play.google.com/store/apps/details?id=com.tenminutemail,https://ads-manager.prvtx.net/10minemail.com/app-ads.txt,True,"google.com, pub-8728712656723745, RESELLER, f08c47fec0942fa0",-,"rubiconproject.com, 16356, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16834, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16824, RESELLER; rubiconproject.com, 16356, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16834, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16824, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807",-,-,
1486564595,10 Minute - Temp Mail Address,https://apps.apple.com/us/app/id1486564595,https://ads-manager.prvtx.net/10minemail.com/app-ads.txt,True,"google.com, pub-8728712656723745, RESELLER, f08c47fec0942fa0",-,"rubiconproject.com, 16356, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16834, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16824, RESELLER; rubiconproject.com, 16356, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16834, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16824, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807",-,-,
badminton.king.sportsgame.smash,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
1631475907,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
530143054,ABC 10 News San Diego KGTV,https://apps.apple.com/us/app/id530143054,https://www.10news.com/app-ads.txt,True,-,-,-,"aps.amazon.com,ea05d466-f785-4b9a-a030-6fdc6a39498f,DIRECT",-,
1435080712,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
com.raisin.babyyellow,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
1230352595,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
