TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,programmaticians.com,rightxchange.com,REMARKS
block.merge.free.puzzle,Merge Block Puzzle,block.merge.free.puzzle,https://www.gmaker.top/app-ads.txt,True,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER; programmaticians.com, PMVDO101, DIRECT","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
com.AzonGroup.VladNiki,Vlad & Niki Car Games for Kids,com.AzonGroup.VladNiki,http://www.azon.games/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.tarparos.phigaea,-,com.tarparos.phigaea,-,-,-,-,App not found(404).
com.artem.scotepio,-,com.artem.scotepio,-,-,-,-,App not found(404).
com.mgc.miami.crime.simulator,Miami crime simulator,com.mgc.miami.crime.simulator,http://naxeex.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
and.lihuhu.findmatch,Triple Find - Match Triple 3D,and.lihuhu.findmatch,https://lihuhugames.com/app-ads.txt,True,"programmaticians.com,PMVDO101,DIRECT",-,
diy.paper.dolls.magic.dollify.makeup.dressupgames,Magic Paper Dolls Dress Up DIY,diy.paper.dolls.magic.dollify.makeup.dressupgames,https://dudupuzzle.fun/app-ads.txt,True,"programmaticians.com,PMVDO101,DIRECT",-,
and.lihuhu.woober,Woodber - Classic Number Game,and.lihuhu.woober,https://lihuhugames.com/app-ads.txt,True,"programmaticians.com,PMVDO101,DIRECT",-,
doll.makeover.fashion.makeup.anime.avatar.dressupgames,Doll Makeup: Dress up for kids,doll.makeover.fashion.makeup.anime.avatar.dressupgames,https://dudupuzzle.fun/app-ads.txt,True,"programmaticians.com,PMVDO101,DIRECT",-,
and.lihuhu.machingtriple,Match Triple 3D: Matching tile,and.lihuhu.machingtriple,https://lihuhugames.com/app-ads.txt,True,"programmaticians.com,PMVDO101,DIRECT",-,
com.love.idol.dressup.doll.makeover.avatar.makeup.games,Love Idol - Beauty Dress Up,com.love.idol.dressup.doll.makeover.avatar.makeup.games,https://dudupuzzle.fun/app-ads.txt,True,"programmaticians.com,PMVDO101,DIRECT",-,
com.rud.twelvelocks3,12 LOCKS 3: Around the world,com.rud.twelvelocks3,http://rud.mygamesonline.org/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.kiwifun.game.android.ball.sort,Color Ball Sort : Puzzle Game,com.kiwifun.game.android.ball.sort,http://kiwifungames.com/app-ads.txt,False,"programmaticians.com,PMVDO101,DIRECT; programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER; programmaticians.com,PMVDO101,DIRECT","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
com.darmiu.folasia,Loklok-Pocket Dramas and Films,com.darmiu.folasia,http://www.loklok.chat/app-ads.txt,False,"programmaticians.com,PMVDO101,DIRECT",-,
com.bubblepop.cannon.puzzle,Bubble Pop! Cannon Shooter,com.bubblepop.cannon.puzzle,http://simplebro.co/app-ads.txt,False,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com,PMVDO101,DIRECT",-,
com.lemel.hiddengame,Bright Objects - Hidden Object,com.lemel.hiddengame,https://cleverside.com/app-ads.txt,True,"programmaticians.com, PMCSE101, DIRECT; programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
com.gsgames.pixel.combat,Pixel Combat: Zombies Strike,com.gsgames.pixel.combat,https://avegagames.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.goplaytoday.sniper3d,Sniper Area: Sniper shooter,com.goplaytoday.sniper3d,https://psvgamestudio.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.grand.gangster.crime.city,Grand Gangsters Crime City War,com.grand.gangster.crime.city,http://cas.ai/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.bigcake.android.bubbledaily,Daily Bubble,com.bigcake.android.bubbledaily,http://www.bigcakegame.com/app-ads.txt,False,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER; programmaticians.com, PMVDO101, DIRECT","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
com.car.racing.asphaltairborne,Speed Car Race 3D - Car Games,com.car.racing.asphaltairborne,http://zeegamesstudios.com/app-ads.txt,False,"programmaticians.com, PMVDO101, DIRECT",-,
com.jioka.lastplay,Last Play: Ragdoll Sandbox,com.jioka.lastplay,https://gardenofdreams.games/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.mad.gunz,Mad GunS online shooting games,com.mad.gunz,https://gardenofdreams.games/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
bible.wordgame.words.connect.crossword.cookies,Bible Word Puzzle - Word Games,bible.wordgame.words.connect.crossword.cookies,https://oakevergames.com/app-ads.txt,True,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com,PMVDO101,DIRECT; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
io.hexargame.stringpaperio,String.io,io.hexargame.stringpaperio,https://www.metajoy.io/app-ads.txt,True,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER; programmaticians.com,PMVDO101,DIRECT","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
com.litatom.lite,Litmatch Lite,com.litatom.lite,http://litmatchlite.com/app-ads.txt,False,"programmaticians.com,PMVDO101,DIRECT",-,
com.mintgames.zentriple3d,Zen Triple 3D - Match Master,com.mintgames.zentriple3d,https://www.firedragongame.com/app-ads.txt,True,"programmaticians.com,PMVDO101,DIRECT",-,
com.stickman.thief.puzzle.brain.games,Thief Puzzle Games: Brain Test,com.stickman.thief.puzzle.brain.games,http://zeegamesstudios.com/app-ads.txt,False,"programmaticians.com, PMVDO101, DIRECT",-,
com.trainlivestatus.checkpnrstatusonline,Live Train Status : PNR Status,com.trainlivestatus.checkpnrstatusonline,https://softechdevs.blogspot.com/app-ads.txt,True,"programmaticians.com, PGADG122, DIRECT",-,
com.tojgames.realcarparking2,Real Car Parking 2 : Car Sim,com.tojgames.realcarparking2,https://tojgames.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
ru.empiregames.maze3d,Maze World 3D,ru.empiregames.maze3d,https://gardenofdreams.games/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.dressup.avatar.vlinder.doll.gacha,Vlinder Gacha Dressup for Kids,com.dressup.avatar.vlinder.doll.gacha,http://31gamestudio.com/app-ads.txt,False,"programmaticians.com,PMVDO101,DIRECT",-,
