TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,hindsightsolutions.net,"pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807",programmaticians.com,prosegments.com,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",REMARKS
1496354836,Woodoku - Wood Block Puzzles,1496354836,https://www.tripledotstudios.com/app-ads.txt,True,"hindsightsolutions.net,323-b5738,RESELLER,20e30b2ae1f670f2; hindsightsolutions.net,323-b5910,RESELLER,20e30b2ae1f670f2; hindsightsolutions.net,AFHSRTB101,RESELLER; hindsightsolutions.net, HSBLST101, RESELLER",-,-,-,"programmaticians.com,PMCMRSL101,RESELLER",-,-,
6468921495,Vita Mahjong,6468921495,https://www.vitastudio.ai/app-ads.txt,True,"hindsightsolutions.net ,323-b5738 ,RESELLER ,20e30b2ae1f670f2; hindsightsolutions.net,323-b5738,RESELLER,20e30b2ae1f670f2; hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net,HSVDO101,DIRECT","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace; pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807; rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807","programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com,PMVDO101,DIRECT",-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
1193508329,Sudoku.com - Number Games,1193508329,https://easybrain.com/app-ads.txt,True,"hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, hsinmobi100000, RESELLER","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807","programmaticians.com, PMCMRSL101, RESELLER",-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
com.agminstruments.drumpadmachine,Drum Pad Machine - beat maker,com.agminstruments.drumpadmachine,https://easybrain.com/app-ads.txt,True,"hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, hsinmobi100000, RESELLER","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807","programmaticians.com, PMCMRSL101, RESELLER",-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
1214223596,Word Trip - Word Puzzles Games,1214223596,https://playsimple.in/app-ads.txt,True,"hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 323-b5850, DIRECT, 20e30b2ae1f670f2; hindsightsolutions.net,323-b5738,RESELLER,20e30b2ae1f670f2; hindsightsolutions.net, HSINMOBI100000, RESELLER; hindsightsolutions.net, HSBLST101, RESELLER","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807","programmaticians.com, PMCMRSL101, RESELLER",-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
air.com.bitrhymes.bingo,Bingo Bash: Live Bingo Games,air.com.bitrhymes.bingo,https://www.scopely.com/app-ads.txt,True,"hindsightsolutions.net,323-b5910,RESELLER,20e30b2ae1f670f2; hindsightsolutions.net,hsinmobi100000,RESELLER; hindsightsolutions.net,323-b5738,RESELLER,20e30b2ae1f670f2; hindsightsolutions.net,323-b5910,RESELLER,20e30b2ae1f670f2; hindsightsolutions.net,323-b5738,RESELLER,20e30b2ae1f670f2; hindsightsolutions.net,AFHSRTB101,RESELLER",-,-,-,"programmaticians.com,PMCMRSL101,RESELLER",-,-,
bible.wordgame.words.connect.crossword.cookies,Bible Word Puzzle - Word Games,bible.wordgame.words.connect.crossword.cookies,https://oakevergames.com/app-ads.txt,True,"hindsightsolutions.net ,323-b5738 ,RESELLER ,20e30b2ae1f670f2; hindsightsolutions.net,323-b5738,RESELLER,20e30b2ae1f670f2; hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net,HSVDO101,DIRECT","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace; pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807; rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807","programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com,PMVDO101,DIRECT",-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
com.vidio.android.tv,"Vidio TV: Sport, Movie, Series",com.vidio.android.tv,http://www.vidio.com/app-ads.txt,True,"hindsightsolutions.net, 348, DIRECT; hindsightsolutions.net, 323-b5616, DIRECT, 20e30b2ae1f670f2; hindsightsolutions.net, 323-b5616, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 305, DIRECT","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace",-,-,-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
com.bigcake.android.bpdaily,Block Puzzle,com.bigcake.android.bpdaily,http://www.bigcakegame.com/app-ads.txt,False,"hindsightsolutions.net, HSINMOBI100000, RESELLER; hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, HSBLST101, RESELLER; hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, HSVDO101, DIRECT","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807","programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMVDO101, DIRECT",-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
com.bigcake.nailsalonmatch,Town Match,com.bigcake.nailsalonmatch,http://www.bigcakegame.com/app-ads.txt,False,"hindsightsolutions.net, HSINMOBI100000, RESELLER; hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, HSBLST101, RESELLER; hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, HSVDO101, DIRECT","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807","programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMVDO101, DIRECT",-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
com.bigcake.jigsaw.puzzles,Jigsaw Puzzles,com.bigcake.jigsaw.puzzles,http://www.bigcakegame.com/app-ads.txt,False,"hindsightsolutions.net, HSINMOBI100000, RESELLER; hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, HSBLST101, RESELLER; hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, HSVDO101, DIRECT","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807","programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMVDO101, DIRECT",-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
